SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,August-12-2019,Single Family Residential,1101 Norton St,San Mateo,CA,94401,1242000,6,2.0,Shoreview,1990,5661,1951,411,624,,Sold,,,http://www.redfin.com/CA/San-Mateo/1101-Norton-St-94401/home/1765374,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40865946,N,Y,37.5643806,-122.3054588
PAST SALE,December-3-2019,Single Family Residential,1909 Shoreview Ave,SAN MATEO,CA,94401,1250000,3,3.0,SAN MATEO,1490,6250,1950,298,839,,Sold,,,http://www.redfin.com/CA/San-Mateo/1909-Shoreview-Ave-94401/home/1358699,MLSListings,ML81771256,N,Y,37.5724085,-122.301561
PAST SALE,,Condo/Co-op,555 Laurel Ave #521,San Mateo,CA,94401,1050000,1,2.0,,1168,,1980,,899,,,,,http://www.redfin.com/CA/San-Mateo/555-Laurel-Ave-94401/unit-521/home/1252875,,,N,Y,37.563388,-122.3211304
PAST SALE,March-30-2020,Single Family Residential,917 S Delaware St,SAN MATEO,CA,94402,1128800,2,1.0,SAN MATEO,1130,4218,1938,180,999,,Sold,,,http://www.redfin.com/CA/San-Mateo/917-S-Delaware-St-94402/home/1181540,MLSListings,ML81786819,N,Y,37.5629377,-122.3150699
PAST SALE,March-9-2019,Condo/Co-op,555 Laurel Ave #114,SAN MATEO,CA,94401,1038888,1,2.0,SAN MATEO,1299,92393,1980,567,800,921,Sold,,,http://www.redfin.com/CA/San-Mateo/555-Laurel-Ave-94401/unit-114/home/1586242,MLSListings,ML81739307,N,Y,37.563388,-122.3211304
PAST SALE,May-22-2020,Single Family Residential,603 S Fremont St,SAN MATEO,CA,94402,1428000,5,3.0,SAN MATEO,2330,6000,1926,127,613,,Sold,,,http://www.redfin.com/CA/San-Mateo/603-S-Fremont-St-94402/home/1131893,MLSListings,ML81788683,N,Y,37.5664121,-122.3158338
PAST SALE,May-27-2020,Single Family Residential,1678 Mckinley St,SAN MATEO,CA,94403,1195000,3,2.0,SAN MATEO,1050,5150,1954,122,1138,,Sold,,,http://www.redfin.com/CA/San-Mateo/1678-McKinley-St-94403/home/2054144,MLSListings,ML81789156,N,Y,37.5597886,-122.3001879
PAST SALE,July-17-2020,Single Family Residential,1121 S Grant St,SAN MATEO,CA,94402,1605000,3,2.5,SAN MATEO,2200,4500,1946,71,730,,Sold,,,http://www.redfin.com/CA/San-Mateo/1121-S-Grant-St-94402/home/1935364,MLSListings,ML81789955,N,Y,37.5621951,-122.309279
PAST SALE,May-26-2020,Condo/Co-op,222 8th Ave #302,SAN MATEO,CA,94401,1275000,2,2.0,SAN MATEO,1538,,2006,123,829,696,Sold,,,http://www.redfin.com/CA/San-Mateo/222-8th-Ave-94401/unit-302/home/2100496,MLSListings,ML81789991,N,Y,37.5616669,-122.3189082
PAST SALE,April-2-2020,Multi-Family (2-4 Unit),800 S Idaho St,SAN MATEO,CA,94402,1700000,5,,SAN MATEO,3317,5880,1938,177,513,,Sold,,,http://www.redfin.com/CA/San-Mateo/800-S-Idaho-St-94402/home/707966,MLSListings,ML81781540,N,Y,37.5668573,-122.3121468
PAST SALE,June-26-2019,Single Family Residential,727 9th Ave,SAN MATEO,CA,94402,1465000,2,1.5,SAN MATEO,1540,6528,1929,458,951,,Sold,,,http://www.redfin.com/CA/San-Mateo/727-9th-Ave-94402/home/1903042,MLSListings,ML81752693,N,Y,37.5644373,-122.3143502
